PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
3RF1V,5rk1/p7/2p5/3p2p1/P2Pp1Pp/4Pr1P/qQ3PR1/1R1K4 b - - 13 39,f3f2 b2a2 f2a2 g2a2 f8f1 d1c2 f1f2 c2b3,1813,77,95,13219,crushing defensiveMove endgame veryLong xRayAttack Queen Rook King,https://lichess.org/FMMMogsR/black#Some(77),,"['crushing', 'defensiveMove', 'endgame', 'xRayAttack', 'Queen', 'Rook', 'King']",7
4uJJR,r2q1rk1/1b2ppbp/p2p1np1/1pn3P1/3NPP2/2NBBQ2/PPP4P/R4RK1 b - - 0 13,c5d3 g5f6 e7f6 c2d3,1776,75,95,3511,advantage intermezzo middlegame short Pawn,https://lichess.org/4pH7m18J/black#Some(25),Sicilian_Defense Sicilian_Defense_Dragon_Variation,"['advantage', 'intermezzo', 'middlegame', 'Pawn']",4
m8GFg,3R2nr/p1p2ppp/1pk5/n7/P2B4/5P2/1rP2P1K/R7 b - - 1 20,a5b7 d4b2 b7d8 b2g7 g8e7 g7h8,1768,76,96,4648,advantage long middlegame trappedPiece Bishop,https://lichess.org/wKENbscv/black#Some(39),,"['advantage', 'middlegame', 'trappedPiece', 'Bishop']",4
gqXXx,3r1rk1/p5p1/1p6/8/2p4Q/2P1P2P/qPKB1P2/3R2R1 w - - 0 31,d1a1 d8d2 c2d2 a2b2 d2d1 b2a1,1808,74,92,2401,attraction crushing deflection interference long middlegame Rook Queen,https://lichess.org/u2ZnAVVd#Some(60),,"['attraction', 'crushing', 'deflection', 'interference', 'middlegame', 'Rook', 'Queen']",7
UVP3O,4rrk1/1pp3pp/p2p4/3P1Rq1/2PQ2n1/4P1P1/PPB4P/5RK1 b - - 0 21,g5e3 d4e3 g4e3 f5f8 e8f8 c2h7 g8h7 f1f8,1819,75,95,6719,crushing deflection discoveredAttack kingsideAttack middlegame veryLong Queen Rook Bishop,https://lichess.org/0Yeaj7n8/black#Some(41),,"['crushing', 'deflection', 'discoveredAttack', 'kingsideAttack', 'middlegame', 'Queen', 'Rook', 'Bishop']",8
PaIMn,1r2r1k1/pp1qbppp/2n2n2/1N6/1P4b1/P4N2/1BBP1PPP/R2QR1K1 w - - 8 17,b5d4 c6d4 b2d4 g4f3 d1f3 d7d4,1860,77,93,6246,advantage capturingDefender long middlegame Knight Bishop Queen,https://lichess.org/TRvLrVVC#Some(32),Sicilian_Defense Sicilian_Defense_Mengarini_Variation,"['advantage', 'capturingDefender', 'middlegame', 'Knight', 'Bishop', 'Queen']",6
y0ZSu,r2q1rk1/ppp2pp1/2n5/3pP2n/8/2P2NbP/PP2P1B1/R1BQ1RK1 b - - 0 15,c6e5 f3e5 g3e5 f1f5 f8e8 f5h5,1859,75,88,1014,advantage clearance fork long opening Knight Rook,https://lichess.org/cnPwH3bH/black#Some(29),Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation,"['advantage', 'clearance', 'fork', 'opening', 'Knight', 'Rook']",6
lwTc3,1r1r2k1/3p2p1/3Rp2p/qP2Q3/4P3/p6P/5PP1/1R4K1 w - - 0 28,d6a6 a5a6 b5a6 b8b1 g1h2 a3a2 e5a5 a2a1q,1854,76,92,3128,advancedPawn crushing endgame promotion veryLong Queen Rook Pawn,https://lichess.org/n0LuDxTi#Some(54),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Queen', 'Rook', 'Pawn']",7
aYzPn,2r2r2/pb3pkp/1p1q2p1/3p4/8/PPRQ2P1/4PPBP/2R3K1 b - - 2 22,d5d4 g2b7 c8c3 c1c3,1747,75,91,1324,crushing hangingPiece middlegame short Bishop Rook,https://lichess.org/EXcpAYmp/black#Some(43),,"['crushing', 'hangingPiece', 'middlegame', 'Bishop', 'Rook']",5
2JA3J,r3kbnr/ppp2ppp/2n3b1/3qp3/2Bp2P1/PP2PN1P/1BPP1P2/RN1QK2R b KQkq - 4 9,d5e4 d2d3 e4f3 d1f3,1809,74,92,1283,crushing middlegame short trappedPiece Pawn Queen,https://lichess.org/EXEaNp2W/black#Some(17),Vant_Kruijs_Opening Vant_Kruijs_Opening_Other_variations,"['crushing', 'middlegame', 'trappedPiece', 'Pawn', 'Queen']",5
