PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
ce2JP,2rq1rk1/1b1pppbp/p1n2npB/8/1p1NP3/P1N2P1P/1PPQ2P1/2KR1B1R w - - 0 15,d4c6 b4c3 c6d8 c3d2,1921,75,92,1530,advancedPawn advantage middlegame queensideAttack short Pawn,https://lichess.org/NAa8aYpi#Some(28),Sicilian_Defense Sicilian_Defense_Open,"['advancedPawn', 'advantage', 'middlegame', 'queensideAttack', 'Pawn']",5
tw6P5,r4rk1/ppp2ppp/2np4/8/3P1B2/2P2NPb/PP2Q2P/R3KBq1 b Q - 3 13,g1h1 e1c1 h3g4 f1g2 h1h2 d1h1,1982,78,91,1979,advantage castling clearance long middlegame King Bishop Rook,https://lichess.org/Kekpvm5l/black#Some(25),Alekhine_Defense Alekhine_Defense_Other_variations,"['advantage', 'castling', 'clearance', 'middlegame', 'King', 'Bishop', 'Rook']",7
83for,5kr1/8/2Q1Pn1p/5P2/1P6/2P1P1rq/P2B1RP1/6K1 w - - 3 32,c6c8 f8g7 c8b7 g7h8,1958,75,89,1966,advantage defensiveMove middlegame pin short King,https://lichess.org/blRPj6Di#Some(62),,"['advantage', 'defensiveMove', 'middlegame', 'pin', 'King']",5
sTjDV,1rb2rk1/1pp2pp1/p1n3P1/8/2Pp1p2/P2P1N2/P4qB1/2KQR2R b - - 1 18,f2a2 h1h8 g8h8 e1h1 h8g8 h1h8 g8h8 d1h1 c8h3 h1h3 h8g8 h3h7,1933,80,96,17848,attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong Rook Queen,https://lichess.org/IUb6s7SE/black#Some(35),Grob_Opening Grob_Opening_Other_variations,"['attraction', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Rook', 'Queen']",7
d38PB,8/2B5/P7/1K5p/4p1k1/6b1/8/8 b - - 0 47,e4e3 a6a7 g3c7 a7a8q,1968,78,92,8600,advancedPawn bishopEndgame crushing endgame promotion short Pawn,https://lichess.org/rg4QhKlD/black#Some(93),,"['advancedPawn', 'crushing', 'endgame', 'promotion', 'Pawn']",5
4491n,1k1r2nr/p1p3pp/2p2pb1/3N4/1b1Q2P1/2P1B2P/PP1KBP2/R6q b - - 0 17,h1a1 d4a7 b8c8 a7c7,1913,75,95,2136,mate mateIn2 middlegame queensideAttack short Queen,https://lichess.org/Ch8bA95I/black#Some(33),Philidor_Defense Philidor_Defense_Other_variations,"['mateIn2', 'middlegame', 'queensideAttack', 'Queen']",4
GyVLW,8/4bk2/2R1pp2/3n1n2/3P3p/r4N1P/3B1PP1/2NK4 w - - 6 38,d1c2 a3f3 g2f3 f5d4 c2d1 d4c6,1988,76,94,4973,capturingDefender crushing exposedKing fork long middlegame Rook Knight,https://lichess.org/VrqIV8zC#Some(74),,"['capturingDefender', 'crushing', 'exposedKing', 'fork', 'middlegame', 'Rook', 'Knight']",7
ld5RT,2r3k1/4rppp/8/2N5/1P6/P3q3/2Q2nPP/R3R2K w - - 3 32,h1g1 f2h3 g1h1 e3e1 a1e1 e7e1,1887,75,94,1365,backRankMate doubleCheck long mate mateIn3 middlegame Knight Queen Rook,https://lichess.org/Bmh6x73o#Some(62),,"['doubleCheck', 'mateIn3', 'middlegame', 'Knight', 'Queen', 'Rook']",6
xkRSl,2k5/1pp2p2/p1p5/8/2P1Pq2/1P3P2/KPPr4/5Q1R b - - 2 30,d2c2 h1h8 c8d7 f1d3 f4d6 d3c2,1937,76,95,10699,crushing endgame fork long Rook Queen,https://lichess.org/aXVvBG9R/black#Some(59),,"['crushing', 'endgame', 'fork', 'Rook', 'Queen']",5
wcSRS,r3n2r/pp3N2/3pR3/1kp5/7p/2P5/P5PP/3R2K1 b - - 7 31,h8h7 e6e8 a8e8 f7d6 b5a4 d6e8,1906,76,91,1414,advantage attraction capturingDefender endgame fork long Rook Knight,https://lichess.org/fQjl7jX9/black#Some(61),,"['advantage', 'attraction', 'capturingDefender', 'endgame', 'fork', 'Rook', 'Knight']",7
