PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,GoodRowThemes,CountGoodRowThemes
grFHL,2rq1r1k/pp3Npp/1np3p1/8/2Q1P3/1P3PP1/P5KP/4R2B b - - 2 30,h8g8 f7h6 g8h8 c4g8 f8g8 h6f7,1357,83,86,1081,doubleCheck kingsideAttack long mate mateIn3 middlegame sacrifice smotheredMate Knight Queen,https://lichess.org/5L9JFBd8/black#Some(59),,"['doubleCheck', 'kingsideAttack', 'mateIn3', 'middlegame', 'sacrifice', 'Knight', 'Queen']",7
aPcNd,2k4r/ppp2pp1/3bp2p/2q5/3r2P1/4QPBN/PPP4P/1KR4R w - - 1 19,h1d1 d4d1 e3c5 d1c1 b1c1 d6c5,1340,75,93,2252,crushing intermezzo long middlegame queensideAttack Rook Bishop,https://lichess.org/Bz8Mh41o#Some(36),Rapport-Jobava_System Rapport-Jobava_System_Other_variations,"['crushing', 'intermezzo', 'middlegame', 'queensideAttack', 'Rook', 'Bishop']",6
hLUwC,3R4/pb4bk/1p6/q3P2p/5Q2/1P6/5PPP/r1R3K1 w - - 7 32,d8e8 a5e1 c1e1 a1e1,1292,74,99,2741,mate mateIn2 middlegame sacrifice short xRayAttack Queen Rook,https://lichess.org/dlZiH3S6#Some(62),,"['mateIn2', 'middlegame', 'sacrifice', 'xRayAttack', 'Queen', 'Rook']",6
NB9ym,4r1k1/p3n2p/1p3Q2/2p2p2/2P5/4R3/PP1q2PP/K3R3 w - - 12 35,e3e7 d2e1 e7e1 e8e1,1300,78,97,19737,backRankMate endgame mate mateIn2 short xRayAttack Queen Rook,https://lichess.org/BXe8s2t0#Some(68),,"['endgame', 'mateIn2', 'xRayAttack', 'Queen', 'Rook']",5
4Q4TC,8/1pr5/1R2Pk2/6p1/P1B3K1/1Pr5/6P1/8 b - - 5 48,c7h7 e6e7 f6e7 b6b7 e7d6 b7h7,1238,74,97,8543,advancedPawn attraction crushing discoveredAttack endgame interference long skewer Pawn Rook,https://lichess.org/sodYM1RE/black#Some(95),,"['advancedPawn', 'attraction', 'crushing', 'discoveredAttack', 'endgame', 'interference', 'skewer', 'Pawn', 'Rook']",9
2x9Gg,3r3k/1pp2p1p/1n3pq1/1P2p3/p1P4Q/7P/P4PP1/B3R1K1 b - - 4 27,g6g5 h4g5 f6g5 a1e5 h8g8 e5c7,1352,74,96,21829,capturingDefender crushing endgame kingsideAttack long Queen Bishop,https://lichess.org/nLjNGD4v/black#Some(53),,"['capturingDefender', 'crushing', 'endgame', 'kingsideAttack', 'Queen', 'Bishop']",6
uGDAx,r2qr1k1/ppp3pp/5p2/3pn3/5N2/1PP5/P1Q2PPP/R3KB1R w KQ - 1 13,f4h5 e5f3 e1d1 e8e1,1265,77,94,9246,doubleCheck mate mateIn2 middlegame short Knight Rook,https://lichess.org/hMq57gb7#Some(24),Duras_Gambit Duras_Gambit_Other_variations,"['doubleCheck', 'mateIn2', 'middlegame', 'Knight', 'Rook']",5
unL1R,r4r1k/p1p2pp1/3pbR1p/1p6/4P2Q/4PR1P/P2q2P1/6K1 b - - 1 24,d2c3 f6h6 g7h6 h4h6 h8g8 f3g3 e6g4 g3g4 c3g7 g4g7,1334,75,94,2721,kingsideAttack mate mateIn5 middlegame sacrifice veryLong Rook Queen,https://lichess.org/HzQO3BeF/black#Some(47),,"['kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Rook', 'Queen']",6
2sLmz,4bk2/1R3p2/4N1p1/2NpP3/2n2Pr1/r7/p4K2/R7 b - - 0 44,f7e6 c5e6 f8g8 b7g7 g8h8 a1h1 a3h3 h1h3 g4h4 h3h4,1232,80,93,3198,exposedKing mate mateIn5 middlegame veryLong Knight Rook,https://lichess.org/R29WmBet/black#Some(87),,"['exposedKing', 'mateIn5', 'middlegame', 'Knight', 'Rook']",5
zYoHU,r6r/ppp3N1/1k5B/2b1N3/2BnP3/3P4/PPP2PPP/R4RK1 w - - 1 20,h6e3 d4e2 g1h1 h8h2 h1h2 a8h8 e3h6 h8h6 g7h5 h6h5,1325,79,86,2057,anastasiaMate attraction kingsideAttack mate mateIn5 middlegame sacrifice veryLong Knight Rook,https://lichess.org/SnLTNhPE#Some(38),,"['attraction', 'kingsideAttack', 'mateIn5', 'middlegame', 'sacrifice', 'Knight', 'Rook']",7
kmGsW,r1b1r1k1/ppp2p1p/4pqpB/6P1/8/3R4/P1PKQP1P/7R b - - 0 19,f6e7 e2e5 f7f5 g5f6,1320,77,92,2895,crushing enPassant middlegame short Queen Pawn,https://lichess.org/DMFRbMBe/black#Some(37),Modern_Defense Modern_Defense_Other_variations,"['crushing', 'enPassant', 'middlegame', 'Queen', 'Pawn']",5
a1ylw,b3kb1r/4pppp/2N5/1B6/3q4/1Pp5/2Q2PPP/4K2R b Kk - 0 18,a8c6 b5c6 e8d8 e1g1,1352,82,85,1130,advantage castling defensiveMove middlegame short Bishop King,https://lichess.org/N3QOtxW7/black#Some(35),Kings_Pawn Kings_Pawn_Other_variations,"['advantage', 'castling', 'defensiveMove', 'middlegame', 'Bishop', 'King']",6
NctpX,rnb1k1nr/ppp2ppp/8/4P3/1BP5/2N1P1P1/PP2Q2P/R3KBq1 b Qkq - 1 10,c8h3 e1c1 g1f1 d1f1,1365,83,88,1296,advantage castling middlegame short King Rook,https://lichess.org/lKyBIDcK/black#Some(19),Queens_Gambit_Declined Queens_Gambit_Declined_Albin_Countergambit,"['advantage', 'castling', 'middlegame', 'King', 'Rook']",5
BvSYk,4k2r/5pp1/q6p/2b1pP1P/pr1pP1Q1/3P4/1P4P1/1RN2RK1 b k - 0 31,e8g8 f5f6 g7g5 h5g6,1360,77,90,1799,crushing enPassant middlegame short Pawn,https://lichess.org/MzZeQlVa/black#Some(61),,"['crushing', 'enPassant', 'middlegame', 'Pawn']",4
mpZkh,7k/1p2pp2/p5p1/3Pp1P1/8/5P2/PPP5/2K5 b - - 0 25,f7f5 g5f6 e7f6 d5d6 h8g7 d6d7,1286,79,93,1200,advancedPawn crushing enPassant endgame long pawnEndgame Pawn,https://lichess.org/IVYqEH1l/black#Some(49),,"['advancedPawn', 'crushing', 'enPassant', 'endgame', 'Pawn']",5
ArvPj,rn2kb1r/pb1p1ppp/1ppP1q2/4n3/4N3/5N2/PP2BPPP/R1BQK2R b KQkq - 1 12,e5f3 e2f3 f6e5 e1g1,1239,84,88,1840,castling crushing defensiveMove opening short Bishop King,https://lichess.org/AzyOBuSv/black#Some(23),Ruy_Lopez Ruy_Lopez_Rotary-Albany_Gambit,"['castling', 'crushing', 'defensiveMove', 'opening', 'Bishop', 'King']",6
igfph,rq3r1k/p1p3b1/3p1n1p/Q4bp1/2BPp3/2P1P2P/PP3PPB/R3K2R b KQ - 0 22,b8b6 a5f5 b6b2 e1g1,1372,79,96,1750,advantage castling defensiveMove middlegame short Queen King,https://lichess.org/N20Iy14p/black#Some(43),,"['advantage', 'castling', 'defensiveMove', 'middlegame', 'Queen', 'King']",6
